Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
205," Kozinets, U Gretzel",Netnography,7183,2022, elgaronline.com, Encyclopedia of Tourism Management …,https://www.elgaronline.com/view/book/9781800377486/b-9781800377486.netnography.xml,3592
15," Kaplan, M Haenlein","Users of the world, unite! The challenges and opportunities of Social Media",29355,2010, Elsevier, Business horizons,https://www.sciencedirect.com/science/article/pii/S0007681309001232,2097
48,Scott,What is social network analysis?,19343,2012, library.oapen.org,,https://library.oapen.org/handle/20.500.12657/58730,1612
210,Fuchs,Social media: A critical introduction,3675,2021, torrossa.com, Social Media,https://www.torrossa.com/gs/resourceProxy?an=5018557&publisher=FZ7200,1225
124,Sunstein,# Republic,6908,2018, degruyter.com, # Republic,https://www.degruyter.com/document/doi/10.1515/9781400890521/html?lang=en,1151
243,Thomas,How to do your research project: A guide for students,2157,2022, torrossa.com, How to do your research project,https://www.torrossa.com/gs/resourceProxy?an=5409513&publisher=FZ7200,1078
242,"Pipher, S Gilliam",Could not catch title,4122,2019, Penguin,,"Look manually at: https://scholar.google.com/scholar?start=240&q=child+policy+internet+social+network&hl=en&as_sdt=0,5&as_ylo=2003",824
195,"De Nooy, A Mrvar, V Batagelj",Exploratory social network analysis with Pajek: Revised and expanded edition for updated software,4643,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=8CdmDwAAQBAJ&oi=fnd&pg=PR13&dq=child+policy+internet+social+network&ots=NYyG8k_wO4&sig=sCY4FivSEPUKIO-z7y1jk15D3gw,774
209, Cornelissen,Corporate communication: A guide to theory and practice,3074,2020, torrossa.com, Corporate Communication,https://www.torrossa.com/gs/resourceProxy?an=5017883&publisher=FZ7200,768
232,Berk,Child development,6296,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Ev1HDgAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=-2QYf6KXXM&sig=kuyuhwHzDFahd7MUTN1mgsM8YxE,700
235," Jowett, V O'donnell",Propaganda & persuasion,3781,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ThhcDwAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=FlFwT5BNt2&sig=xh8ho0t5Pgo8h5Ej2nBr0NwMqeo,630
191, Department of Health and Human Services,The health consequences of smoking—50 years of progress: a report of the Surgeon General,6241,2014, aahb.org,,https://aahb.org/Resources/Pictures/Meetings/2014-Charleston/PPT%20Presentations/Sunday%20Welcome/Abrams.AAHB.3.13.v1.o.pdf,624
236,"Leskovec, A Rajaraman, JD Ullman",Mining of massive data sets,2440,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=S4HCDwAAQBAJ&oi=fnd&pg=PR9&dq=child+policy+internet+social+network&ots=iQtjmmiBPh&sig=YvueWCT-Gl9WDMFDK5OVfx6LsPs,610
161,"Bott, EB Spillius","Family and social network: Roles, norms and external relationships in ordinary urban families",5730,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=m0LtAgAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=wWLlJMn-YW&sig=wbEtg7Za9CRqTxIZesRk1VfbU1U,573
54,"Knoke, S Yang",Social network analysis,2802,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=9jDEDwAAQBAJ&oi=fnd&pg=PP12&dq=child+policy+internet+social+network&ots=HmY3OQdj0d&sig=n5qGmsc7d1fAVWOh6-LhtNQsdxo,560
62,Van Dijck,The culture of connectivity: A critical history of social media,5989,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=t5RpAgAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=pn4xYQttJI&sig=uK24M_7kjmwewrsqpkUJb6ihDBI,544
211, Sanborn,A cognitive psychology of mass communication,1059,2022, books.google.com,,https://books.google.com/books?hl=en&lr=&id=qJl8EAAAQBAJ&oi=fnd&pg=PT7&dq=child+policy+internet+social+network&ots=7u46gav0b2&sig=WwcFhdQbbNb5d7DDrPiNPGOMN6Q,530
22,"Evans, S Bratton, J McKee",Social media marketing,1540,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=7lgkEAAAQBAJ&oi=fnd&pg=PT7&dq=child+policy+internet+social+network&ots=UX0sBm09eW&sig=PW4n2p3__asJjLrJonRnblhuzhA,513
120,"Dubey, P Biswas, R Ghosh, S Chatterjee…",Psychosocial impact of COVID-19,1964,2020, Elsevier, Diabetes & Metabolic …,https://www.sciencedirect.com/science/article/pii/S1871402120301545,491
24," Mangold, DJ Faulds",Social media: The new hybrid element of the promotion mix,7354,2009, Elsevier, Business horizons,https://www.sciencedirect.com/science/article/pii/S0007681309000329,490
207,McNair,An introduction to political communication,3379,2017, books.google.com,,https://books.google.com/books?hl=en&lr=&id=4kwrDwAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=_howWKaS_K&sig=Ws71QIiF4OOc5R0mamW9zqDONII,483
155,"Jenkins, S Ford, J Green",Spreadable media,5097,2013, degruyter.com, Spreadable media,https://www.degruyter.com/document/doi/10.18574/nyu/9780814743515.001.0001/html,463
179,Sheth,Impact of Covid-19 on consumer behavior: Will the old habits return or die?,1795,2020, Elsevier, Journal of business research,https://www.sciencedirect.com/science/article/pii/S0148296320303647,449
173, Nardi,Doing survey research: A guide to quantitative methods,2527,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=lFgPEAAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=J5ohmoJcX3&sig=sLw-kyp79XUAGMbIjOHWKtWJWuw,421
171,"Curran, J Seaton","Power without responsibility: press, broadcasting and the internet in Britain",2490,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=M9iLDwAAQBAJ&oi=fnd&pg=PP1&dq=child+policy+internet+social+network&ots=_ZibhIZD1f&sig=j_eRQdr3KQ3haQ2z3feH2JPF5xo,415
147," Christakis, JH Fowler",The spread of obesity in a large social network over 32 years,6807,2007, Mass Medical Soc, New England journal of medicine,https://www.nejm.org/doi/full/10.1056/NEJMsa066082,400
181," Marwick, D Boyd","I tweet honestly, I tweet passionately: Twitter users, context collapse, and the imagined audience",5150,2011, journals.sagepub.com, New media & society,https://journals.sagepub.com/doi/pdf/10.1177/1461444810365313,396
133,"Pennycook, J McPhetres, Y Zhang…",Fighting COVID-19 misinformation on social media: Experimental evidence for a scalable accuracy-nudge intervention,1568,2020, journals.sagepub.com, Psychological …,https://journals.sagepub.com/doi/pdf/10.1177/0956797620939054,392
223, Baym,Personal connections in the digital age,3504,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=4_1RCgAAQBAJ&oi=fnd&pg=PT6&dq=child+policy+internet+social+network&ots=PUzV8vVYHu&sig=kHZ2lFgAWHVeWYeakw2tGDtdp6M,389
175," Hanneman, M Riddle",Introduction to social network methods,7329,2005, wiki.gonzaga.edu,,https://wiki.gonzaga.edu/dpls707/images/6/6e/Introduction_to_Social_Network_Methods.pdf,386
190,Tapscott,Grown up digital,6061,2008, studynotesunisa.co.za,,https://studynotesunisa.co.za/wp-content/uploads/2018/12/grown-up-digital-tapscott-e.pdf,379
122,"Singh, D Roy, K Sinha, S Parveen, G Sharma…",Impact of COVID-19 and lockdown on mental health of children and adolescents: A narrative review with recommendations,1491,2020, Elsevier, Psychiatry …,https://www.sciencedirect.com/science/article/pii/S016517812031725X,373
50," Dwivedi, E Ismagilova, DL Hughes…",Setting the future of digital and social media marketing research: Perspectives and research propositions,1085,2021, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0268401220308082,362
73, Sunstein,# Republic: Divided democracy in the age of social media,2145,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=nVBLDwAAQBAJ&oi=fnd&pg=PR9&dq=child+policy+internet+social+network&ots=d5DVY7YaCt&sig=ts432Wm_TEd7gyO9RIf3N3I-5jo,358
49,"Appel, L Grewal, R Hadi, AT Stephen",The future of social media in marketing,1405,2020, Springer, Journal of the Academy of …,https://link.springer.com/article/10.1007/s11747-019-00695-1?error=cookies_not_support,351
199,Morozov,Could not catch title,4035,2012, PublicAffairs,,"Look manually at: https://scholar.google.com/scholar?start=190&q=child+policy+internet+social+network&hl=en&as_sdt=0,5&as_ylo=2003",336
198,Boyd,It's complicated: The social lives of networked teens,3307,2014, journals.openedition.org,,https://journals.openedition.org/lectures/17628,331
81,"Lou, S Yuan",Influencer marketing: How message value and credibility affect consumer trust of branded content on social media,1637,2019, Taylor & Francis, Journal of interactive advertising,https://www.tandfonline.com/doi/abs/10.1080/15252019.2018.1533501,327
130," Hollebeek, MS Glynn…","Consumer brand engagement in social media: Conceptualization, scale development and validation",3154,2014, journals.sagepub.com, Journal of interactive …,https://journals.sagepub.com/doi/pdf/10.1016/j.intmar.2013.12.002,315
222,"Mertens, L Gerritsen, S Duijndam, E Salemink…",Fear of the coronavirus (COVID-19): Predictors in an online study conducted in March 2020,1244,2020, Elsevier, Journal of anxiety …,https://www.sciencedirect.com/science/article/pii/S0887618520300724,311
2,Gillespie,"Custodians of the Internet: Platforms, content moderation, and the hidden decisions that shape social media",1854,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=cOJgDwAAQBAJ&oi=fnd&pg=PA1&dq=child+policy+internet+social+network&ots=PhTKGXPOi7&sig=bfj0IyTayzxGt_cOVDQwfXsvxXk,309
158,"Mo, L Deng, L Zhang, Q Lang, C Liao…",Work stress among Chinese nurses to support Wuhan in fighting against COVID‐19 epidemic,1117,2020, Wiley Online Library, Journal of nursing …,https://onlinelibrary.wiley.com/doi/abs/10.1111/jonm.13014,279
237, Twenge,"iGen: Why today's super-connected kids are growing up less rebellious, more tolerant, less happy--and completely unprepared for adulthood--and what that …",1928,2017, books.google.com,,https://books.google.com/books?hl=en&lr=&id=HiKaDQAAQBAJ&oi=fnd&pg=PT2&dq=child+policy+internet+social+network&ots=aQ-VjZdPVV&sig=zJpla9-n0ofVNrmAnJovQS2wlM4,275
139,Wallace,The psychology of the Internet,2408,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=foLkCgAAQBAJ&oi=fnd&pg=PR11&dq=child+policy+internet+social+network&ots=uydwXM-6F6&sig=1_wPOKoWE3NIr3i0XBgMNffKJC8,268
72," Tuten, MR Solomon",Social media marketing,1740,2017, books.google.com,,https://books.google.com/books?hl=en&lr=&id=XQg_DwAAQBAJ&oi=fnd&pg=PT15&dq=child+policy+internet+social+network&ots=tQg1CTZnpJ&sig=JUR7SGKHjYI0QMLJ7of8zWo7QEQ,249
23,"Keles, N McCrae, A Grealish","A systematic review: the influence of social media on depression, anxiety and psychological distress in adolescents",986,2020, Taylor & Francis, International Journal of …,https://www.tandfonline.com/doi/abs/10.1080/02673843.2019.1590851,246
224," Kozinets, K De Valck, AC Wojnicki…",Networked narratives: Understanding word-of-mouth marketing in online communities,3431,2010, journals.sagepub.com, Journal of …,https://journals.sagepub.com/doi/pdf/10.1509/jm.74.2.71,245
203,"Cluver, JM Lachman, L Sherr, I Wessels, E Krug…",Parenting in a time of COVID-19,972,2020, eprints.gla.ac.uk, Lancet,https://eprints.gla.ac.uk/213919/7/213919.pdf,243
82," Pempek, YA Yermolayeva, SL Calvert",College students' social networking experiences on Facebook,3650,2009, Elsevier, Journal of applied …,https://www.sciencedirect.com/science/article/pii/S0193397308001408,243
97," Lewis, TG Lewis",Booms,2408,2014, Springer, Book of Extremes: Why the 21st Century Isn't Like …,https://link.springer.com/chapter/10.1007/978-3-319-06926-5_4,241
