Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
46, Geels,"Ontologies, socio-technical transitions (to sustainability), and the multi-level perspective",2127,2010, Elsevier, Research policy,https://www.sciencedirect.com/science/article/pii/S0048733310000363,152
77,Cobb,Ontological innovation and the role of theory in design experiments,861,2016, taylorfrancis.com,Based Research: Clarifying the Terms,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203764565-5/ontological-innovation-role-theory-design-experiments-andrea-disessa-paul-cobb,108
164,De Jong,"Cognitive load theory, educational research, and instructional design: Some food for thought",1436,2010, Springer, Instructional science,https://link.springer.com/article/10.1007/s11251-009-9110-0,103
240,Mitzen,Ontological security in world politics: State identity and the security dilemma,1829,2006, journals.sagepub.com, European journal of international relations,https://journals.sagepub.com/doi/pdf/10.1177/1354066106067346,102
250,Harnad,To cognize is to categorize: cognition is categorization,502,2017, Elsevier, Handbook of categorization in cognitive science,https://www.sciencedirect.com/science/article/pii/B9780081011072000026,72
63," Tarus, Z Niu, G Mustafa",Knowledge-based recommendation: a review of ontology-based recommender systems for e-learning,418,2018, Springer, Artificial intelligence review,https://link.springer.com/article/10.1007/s10462-017-9539-5,70
89," Eisenberg, PG Bissett, A Zeynep Enkavi, J Li…",Uncovering the structure of self-regulation through data-driven ontology discovery,275,2019, nature.com, Nature …,https://www.nature.com/articles/s41467-019-10301-1,55
79, Fraser,Classroom learning environments,545,2013, taylorfrancis.com, Handbook of research on science education,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203824696-6/classroom-learning-environments-barry-fraser,50
17,Cimiano,"Ontology learning and population from text: algorithms, evaluation and applications",871,2006, books.google.com,,https://books.google.com/books?hl=en&lr=&id=CRbCXdGZgC4C&oi=fnd&pg=PA5&dq=ontology+cognitive+learning&ots=PetB8tONMx&sig=Tuilq8kzSSA-kikgU9pqc1Y5ffs,48
189,"Zuengler, ER Miller",Cognitive and sociocultural perspectives: Two parallel SLA worlds?,868,2006, Wiley Online Library, TESOL quarterly,https://onlinelibrary.wiley.com/doi/abs/10.2307/40264510,48
126,"Hammer, A Elby, RE Scherr…","Resources, framing, and transfer",906,2005, books.google.com, … of learning from a modern …,https://books.google.com/books?hl=en&lr=&id=x_knDwAAQBAJ&oi=fnd&pg=PA89&dq=ontology+cognitive+learning&ots=lnOs6c4ftT&sig=mPb4gSXgwxAWH8tN1y-bQLG7EF0,48
9,"Wong, W Liu, M Bennamoun",Ontology learning from text: A look back and into the future,543,2012, dl.acm.org, ACM computing surveys (CSUR),https://dl.acm.org/doi/abs/10.1145/2333112.2333115,45
99," Godino, C Batanero, V Font",THE ONTO-SEMIOTIC APPROACH,213,2019, JSTOR, For the learning of mathematics,https://www.jstor.org/stable/26742011,43
242,"N Cook, D Yanow",Culture and organizational learning,562,2011, journals.sagepub.com, Journal of Management Inquiry,https://journals.sagepub.com/doi/pdf/10.1177/1056492611432809,43
64," Poldrack, T Yarkoni",From brain maps to cognitive ontologies: informatics and the search for mental structure,311,2016, annualreviews.org, Annual review of psychology,https://www.annualreviews.org/doi/abs/10.1146/annurev-psych-122414-033729,39
216," Dutta, MM Crossan",The nature of entrepreneurial opportunities: Understanding the process using the 4I organizational learning framework,717,2005, journals.sagepub.com, Entrepreneurship Theory and …,https://journals.sagepub.com/doi/pdf/10.1111/j.1540-6520.2005.00092.x,38
98,"Scott, H Asoko, J Leach",Student conceptions and conceptual learning in science,397,2013, taylorfrancis.com, Handbook of research on science …,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203824696-3/student-conceptions-conceptual-learning-science-phil-scott-hilary-asoko-john-leach,36
220,"Shtulman, J Valcarcel",Scientific knowledge suppresses but does not supplant earlier intuitions,411,2012, Elsevier, Cognition,https://www.sciencedirect.com/science/article/pii/S0010027712000777,34
228, Watson‐Gegeo,"Mind, language, and epistemology: Toward a language socialization paradigm for SLA",673,2004, Wiley Online Library, The Modern Language Journal,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0026-7902.2004.00233.x,34
45,"Harispe, S Ranwez, S Janaqi…",Could not catch title,300,2015, Morgan & Claypool Publishers, Synthesis …,"Look manually at: https://scholar.google.com/scholar?start=40&q=ontology+cognitive+learning&hl=en&as_sdt=0,5&as_ylo=2003",33
29,Stetsenko,From relational ontology to transformative activist stance on development and learning: Expanding Vygotsky's (CHAT) project,506,2008, Springer, Cultural Studies of Science Education,https://link.springer.com/article/10.1007/s11422-008-9111-3,32
