Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
138,"Schulman, F Wolski, P Dhariwal, A Radford…",Proximal policy optimization algorithms,11853,2017, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1707.06347,1693
245,"Boyd, N Parikh, E Chu, B Peleato…",Distributed optimization and statistical learning via the alternating direction method of multipliers,20153,2011, nowpublishers.com, … ® in Machine learning,https://www.nowpublishers.com/article/Details/MAL-016,1550
10,"Mirjalili, A Lewis",The whale optimization algorithm,8071,2016, Elsevier, Advances in engineering software,https://www.sciencedirect.com/science/article/pii/S0965997816300163,1009
163,Ruder,An overview of gradient descent optimization algorithms,7476,2016, arxiv.org, arXiv preprint arXiv:1609.04747,https://arxiv.org/abs/1609.04747,934
74,"Dorigo, M Birattari, T Stutzle",Ant colony optimization,16199,2006, ieeexplore.ieee.org, … computational intelligence …,https://ieeexplore.ieee.org/abstract/document/4129846/,900
197,"Bergstra, Y Bengio",Random search for hyper-parameter optimization.,9827,2012, jmlr.org, Journal of machine learning research,https://www.jmlr.org/papers/volume13/bergstra12a/bergstra12a.pdf?source=post_page---------------------------,819
88," Jordan, TM Mitchell","Machine learning: Trends, perspectives, and prospects",6143,2015, science.org, Science,https://www.science.org/doi/abs/10.1126/science.aaa8415,683
133,"Snoek, H Larochelle…",Practical bayesian optimization of machine learning algorithms,8010,2012, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/4522-practical-bayesian-optimization,668
14," Heidari, S Mirjalili, H Faris, I Aljarah…",Harris hawks optimization: Algorithm and applications,3017,2019, Elsevier, Future generation …,https://www.sciencedirect.com/science/article/pii/S0167739X18313530,603
78,"Bottou, FE Curtis, J Nocedal",Optimization methods for large-scale machine learning,2981,2018, SIAM, SIAM review,https://epubs.siam.org/doi/abs/10.1137/16M1080173,497
87,Bottou,Large-scale machine learning with stochastic gradient descent,6587,2010, Springer, Proceedings of COMPSTAT'2010: 19th International …,https://link.springer.com/chapter/10.1007/978-3-7908-2604-3_16,470
34,"Karaboga, B Basturk",A powerful and efficient algorithm for numerical function optimization: artificial bee colony (ABC) algorithm,7902,2007, Springer, Journal of global optimization,https://link.springer.com/article/10.1007/s10898-007-9149-x,465
166,"Rashedi, H Nezamabad",GSA: a gravitational search algorithm,6877,2009, Elsevier, Information sciences,https://www.sciencedirect.com/science/article/pii/S0020025509001200,458
201,Mirjalili,SCA: a sine cosine algorithm for solving optimization problems,3402,2016, Elsevier,based systems,https://www.sciencedirect.com/science/article/pii/S0950705115005043,425
22, Yang,Nature-inspired optimization algorithms,1668,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=La_YDwAAQBAJ&oi=fnd&pg=PP1&dq=optimization+algorithm+artificial+intelligence+&ots=Of_y3PoF8T&sig=WsdfJaWvfpG1YF2DoLqzN5KPt9Q,417
116,"Deb, H Jain","An evolutionary many-objective optimization algorithm using reference-point-based nondominated sorting approach, part I: solving problems with box constraints",4549,2013, ieeexplore.ieee.org, IEEE transactions on evolutionary computation,https://ieeexplore.ieee.org/abstract/document/6600851/,414
189," Butler, DW Davies, H Cartwright, O Isayev, A Walsh",Machine learning for molecular and materials science,2469,2018, nature.com, Nature,https://www.nature.com/articles/s41586-018-0337-2,412
27,"Abualigah, A Diabat, S Mirjalili, M Abd Elaziz…",The arithmetic optimization algorithm,1223,2021, Elsevier, Computer methods in …,https://www.sciencedirect.com/science/article/pii/S0045782520307945,408
248, Sarker,"Machine learning: Algorithms, real-world applications and research directions",1146,2021, Springer, SN computer science,https://link.springer.com/article/10.1007/s42979-021-00592-x,382
66,Mirjalili,Moth-flame optimization algorithm: A novel nature-inspired heuristic paradigm,3251,2015, Elsevier,based systems,https://www.sciencedirect.com/science/article/pii/S0950705115002580,361
98,"Abualigah, D Yousri, M Abd Elaziz, AA Ewees…",Aquila optimizer: a novel meta-heuristic optimization algorithm,1008,2021, Elsevier, Computers & Industrial …,https://www.sciencedirect.com/science/article/pii/S0360835221001546,336
172," Rao, VJ Savsani, DP Vakharia",Teaching–learning-based optimization: a novel method for constrained mechanical design optimization problems,4073,2011, Elsevier,aided design,https://www.sciencedirect.com/science/article/pii/S0010448510002484,313
